paso,episodio,puntaje,pasos_episodio,perdida_media,pasos_por_segundo
321941,528,350.0,2131,1.83528,136.4
323021,529,740.0,4339,1.83401,136.4
323610,530,270.0,2379,1.82132,136.4
324154,531,285.0,2209,1.81953,136.4
324948,532,620.0,3199,1.8203,136.3
325487,533,320.0,2193,1.82068,136.3
326300,534,465.0,3265,1.82133,136.3
327147,535,520.0,3421,1.82464,136.3
327731,536,415.0,2351,1.82288,136.3
328242,537,280.0,2081,1.82661,136.3
329034,538,390.0,3199,1.82608,136.3
329581,539,305.0,2225,1.81882,136.3
330473,540,390.0,3593,1.81678,136.3
330992,541,330.0,2099,1.81062,136.3
331759,542,380.0,3087,1.79979,136.2
332557,543,340.0,3221,1.79598,136.2
333084,544,305.0,2143,1.79214,136.2
333947,545,470.0,3491,1.79664,136.2
334469,546,290.0,2103,1.79288,136.2
334988,547,290.0,2103,1.79922,136.2
335534,548,310.0,2211,1.7968,136.2
336053,549,335.0,2111,1.80049,136.2
336829,550,595.0,3127,1.79178,136.2
337634,551,425.0,3245,1.79005,136.2
338447,552,400.0,3287,1.78505,136.1
339237,553,350.0,3183,1.77624,136.1
340405,554,510.0,4707,1.76704,136.1
340982,555,330.0,2323,1.76242,136.1
341525,556,305.0,2185,1.76258,136.1
342449,557,445.0,3727,1.75555,136.1
343220,558,380.0,3097,1.75773,136.1
343847,559,250.0,2521,1.75248,136.1
344374,560,290.0,2147,1.75683,136.1
345475,561,710.0,4423,1.75396,136.0
346062,562,285.0,2365,1.76131,136.0
346540,563,280.0,1939,1.75639,136.0
347304,564,545.0,3077,1.747,136.0
348072,565,370.0,3087,1.74773,136.0
348860,566,345.0,3175,1.75385,136.0
349748,567,500.0,3589,1.75839,136.0
350341,568,335.0,2393,1.75667,136.0
351122,569,390.0,3153,1.75901,136.0
352677,570,600.0,6247,1.73509,136.0
353443,571,370.0,3087,1.71622,135.9
354231,572,330.0,3173,1.71048,135.9
355264,573,525.0,4171,1.70188,135.9
356463,574,710.0,4815,1.7032,135.9
357043,575,280.0,2331,1.70286,135.9
357979,576,680.0,3777,1.70658,135.9
358497,577,280.0,2105,1.70556,135.9
359763,578,600.0,5093,1.7089,135.9
360843,579,400.0,4351,1.70985,135.9
361424,580,290.0,2357,1.70823,135.9
362304,581,420.0,3545,1.70464,135.8
362880,582,310.0,2317,1.70476,135.8
363620,583,325.0,2995,1.69496,135.8
364274,584,260.0,2643,1.68867,135.8
364799,585,150.0,2121,1.68672,135.8
365565,586,325.0,3079,1.68375,135.8
366069,587,165.0,2027,1.68717,135.8
366871,588,415.0,3223,1.68999,135.8
367639,589,500.0,3097,1.68227,135.8
368218,590,370.0,2353,1.68351,135.8
369028,591,320.0,3273,1.67242,135.8
370110,592,390.0,4347,1.65846,132.7
370856,593,350.0,3013,1.64109,132.6
371481,594,340.0,2517,1.64907,132.6
372222,595,340.0,2979,1.65512,132.5
372519,596,95.0,1221,1.6585,132.5
373135,597,335.0,2475,1.66072,132.5
373759,598,375.0,2519,1.66455,132.5
374357,599,335.0,2407,1.66099,132.5
375057,600,525.0,2823,1.66199,132.5
375861,601,435.0,3245,1.64385,132.5
376473,602,465.0,2489,1.63179,132.4
377262,603,325.0,3181,1.63342,132.4
377868,604,310.0,2461,1.62846,132.4
378472,605,355.0,2439,1.6279,132.4
379050,606,205.0,2339,1.62755,132.4
379540,607,250.0,1973,1.62765,132.4
380162,608,350.0,2499,1.63168,132.4
380779,609,330.0,2501,1.6329,132.4
381492,610,385.0,2871,1.62842,132.4
382102,611,310.0,2479,1.63179,132.3
382938,612,575.0,3381,1.62971,132.3
383489,613,290.0,2233,1.63063,132.3
384058,614,295.0,2295,1.63029,132.3
384689,615,285.0,2537,1.62384,132.3
385228,616,275.0,2181,1.62529,132.3
385758,617,255.0,2155,1.62715,132.3
386333,618,340.0,2319,1.62492,132.3
387047,619,410.0,2881,1.62393,132.3
387728,620,470.0,2763,1.62605,132.2
388257,621,215.0,2129,1.62305,132.2
388820,622,255.0,2285,1.617,132.2
389438,623,300.0,2493,1.61285,132.2
389949,624,235.0,2067,1.60333,132.2
390523,625,310.0,2323,1.60514,132.2
391064,626,260.0,2183,1.60383,132.2
391501,627,225.0,1785,1.6019,132.2
391938,628,225.0,1781,1.60179,132.2
392502,629,265.0,2279,1.60011,132.2
393435,630,475.0,3747,1.59217,132.1
394046,631,320.0,2483,1.59537,132.1
394878,632,465.0,3343,1.5926,132.1
395421,633,305.0,2189,1.5868,132.1
395858,634,225.0,1783,1.58277,132.1
396381,635,280.0,2131,1.58466,132.0
396824,636,225.0,1813,1.58855,132.0
397261,637,225.0,1785,1.5883,132.0
398260,638,700.0,4033,1.58654,132.0
398742,639,275.0,1943,1.58771,132.0
399209,640,180.0,1895,1.58539,132.0
399803,641,255.0,2411,1.58417,132.0
400338,642,270.0,2173,1.58207,131.9
400777,643,225.0,1789,1.58411,131.9
401440,644,300.0,2667,1.57932,131.9
401882,645,225.0,1787,1.57984,131.9
402375,646,220.0,1993,1.57273,131.9
402811,647,225.0,1783,1.56761,131.8
403361,648,235.0,2237,1.56533,131.8
403960,649,310.0,2431,1.56834,131.8
404733,650,415.0,3129,1.56599,131.8
405221,651,260.0,1991,1.5627,131.8
406102,652,315.0,3563,1.55844,131.8
406592,653,270.0,1973,1.56385,131.8
407045,654,225.0,1823,1.55923,131.8
407552,655,185.0,2049,1.55841,131.8
407994,656,225.0,1787,1.5513,131.8
408472,657,255.0,1945,1.54786,131.8
408986,658,265.0,2091,1.54643,131.7
409676,659,455.0,2797,1.54712,131.7
410115,660,225.0,1781,1.54032,131.7
410644,661,120.0,2155,1.53102,131.7
411170,662,235.0,2133,1.5362,131.7
411840,663,250.0,2699,1.54054,131.7
412447,664,240.0,2461,1.54487,131.7
412888,665,225.0,1791,1.54888,131.7
413393,666,205.0,2049,1.54621,131.7
414019,667,380.0,2535,1.54575,131.7
